Filename,Type,Image Size (MB),Image X,Image Y,DPI,(Center) Coordinate,Favorite,Continent,Bit color,Alpha,Hockey Team,User Tags
Iceland.png,png,8.35,600,800,72,,,,,,Team Iceland,"""Johnson, Volcano, Dusk"""
Italy.png,png,10.5,600,800,96,,Yes,Europe,,,,
Japan.jpeg,jpeg,26.4,600,800,600,"36° 00' N, 138° 00' E",,Asia,,,,"""Mt Fuji, Fog"""
Calgary.tif,tiff,30.6,600,800,1200,"51.05011, -114.08529",Yes,,32,Y,Flames,"""Urban, Dusk"""
Edmonton.jpg,jpeg,5.6,900,400,72,"53.55014, -113.46871",,,,,Oilers,
Mumbai_000006.cr2,cr2,36.42,1920,1080,300,"19° 07' N, 72° 23' E",,Asia,14,,,"""""""Food, Abstract, Beach, City"""""""
Barcelona_000007.raw,raw,22.12,3264,2448,300,"41° 53' N, 2° 19' E",Yes,Europe,,,,"""""""Sunrise, Sports, Street"""""""
Cairo_000008.raw,raw,27.11,3840,2160,1200,"30.21849, 31.56546",,Africa,14,Y,,"""""""Wildlife, Art"""""""
Rio_de_Janeiro_000009.tif,tif,31.06,4000,3000,600,"-23.28228, -42.76295",,South America,24,Y,,"""""""Wedding, Blue Hour, Travel, Beach"""""""
London_000010.arw,arw,23.89,3840,2160,1200,"52° 05' N, 0° 49' W",Yes,Europe,16,,Canucks,"""""""Golden Hour, Forest, Nature"""""""
New_York_000011.arw,arw,19.93,5472,3648,300,"41° 58' N, 74° 26' W",,North America,14,,,"""""""Event, Festival, Family, Night, Panorama"""""""
Sydney_000012.tif,tif,31.41,5472,3648,1200,"-33.88962, 151.03841",,Australia,48,,,"""""""Architecture, Street"""""""
Barcelona_000013.png,png,23.89,4032,3024,96,"41° 41' N, 2° 36' E",Yes,Europe,32,Y,,"""""""Holiday, Portrait, Art, Sunset"""""""
Cape_Town_000014.tiff,tiff,34.64,3840,2160,1200,"34° 19' S, 19° 22' E",,Africa,24,,,"""""""Forest, Sunrise, Landscape"""""""
Cape_Town_000015.jpeg,jpeg,15.77,6000,4000,72,"-34.04306, 18.87517",,Africa,32,,,"""""""Sports, Abstract, Landscape, Nature, Panorama"""""""
Berlin_000016.nef,nef,18.54,4032,3024,600,"52.60895, 13.31065",,Europe,14,,,"""""""Vacation, Family, Festival, Abstract"""""""
Barcelona_000017.raw,raw,34.03,2048,1536,1200,"42° 25' N, 2° 12' E",,Europe,16,Y,,"""""""Street, Black and White"""""""
Singapore_000018.arw,arw,39.71,4000,3000,300,"1.77771, 103.58828",,Asia,14,,,"""""""Beach, Night"""""""
Los_Angeles_000019.arw,arw,37.21,6000,4000,600,"35° 17' N, 118° 50' W",,North America,16,,,
